time,close
2012/09/24,595.98 
2012/09/25,581.35 
2012/09/26,544.79 
2012/09/27,554.84 
2012/09/28,554.84 
2012/10/01,542.05 
2012/10/02,557.59 
2012/10/03,559.41 
2012/10/04,557.59 
2012/10/05,571.30 
2012/10/08,559.41 
2012/10/09,550.27 
2012/10/11,558.50 
2012/10/12,559.41 
2012/10/15,560.33 
2012/10/16,563.98 
2012/10/17,555.76 
2012/10/18,558.50 
2012/10/19,553.01 
2012/10/22,544.79 
2012/10/23,542.05 
2012/10/24,541.13 
2012/10/25,543.87 
2012/10/26,563.07 
2012/10/29,557.59 
2012/10/30,566.73 
2012/10/31,568.55 
2012/11/01,578.61 
2012/11/02,576.78 
2012/11/05,562.16 
2012/11/06,589.58 
2012/11/07,630.71 
2012/11/08,656.31 
2012/11/09,645.34 
2012/11/12,634.37 
2012/11/13,621.57 
2012/11/14,624.31 
2012/11/15,630.71 
2012/11/16,617.00 
2012/11/19,634.37 
2012/11/20,627.05 
2012/11/21,637.11 
2012/11/22,632.54 
2012/11/23,655.39 
2012/11/26,689.21 
2012/11/27,686.47 
2012/11/28,690.13 
2012/11/29,695.61 
2012/11/30,725.77 
2012/12/03,711.15 
2012/12/04,719.38 
2012/12/05,731.26 
2012/12/06,782.45 
2012/12/07,786.10 
2012/12/10,803.47 
2012/12/11,791.59 
2012/12/12,785.19 
2012/12/13,769.65 
2012/12/14,716.63 
2012/12/17,677.33 
2012/12/18,690.13 
2012/12/19,717.55 
2012/12/20,727.60 
2012/12/21,708.41 
2012/12/22,710.24 
2012/12/24,698.35 
2012/12/25,714.81 
2012/12/26,710.24 
2012/12/27,706.58 
2012/12/28,711.15 
2013/01/02,760.51 
2013/01/03,753.20 
2013/01/04,733.09 
2013/01/07,681.90 
2013/01/08,674.59 
2013/01/09,678.24 
2013/01/10,667.27 
2013/01/11,683.73 
2013/01/14,660.88 
2013/01/15,662.70 
2013/01/16,670.93 
2013/01/17,657.22 
2013/01/18,662.70 
2013/01/21,670.93 
2013/01/22,670.93 
2013/01/23,671.84 
2013/01/24,685.56 
2013/01/25,678.24 
2013/01/28,680.99 
2013/01/29,728.52 
2013/01/30,714.81 
2013/01/31,706.58 
2013/02/01,728.52 
2013/02/04,727.60 
2013/02/05,744.06 
2013/02/06,735.83 
2013/02/18,734.92 
2013/02/19,763.25 
